commit	composite	compliance	p99_ms	scope	status	description
e7e9d0276	0.999842	1.000000	0.005260	sidecar	neutral-kept	[sidecar] exp114: RuleEffectiveness — rule fire/override rate tracking for governance tuning; identifies silent/noisy/effective rules; generates tuning recommendations; zero hot-path overhead
9c0ccd3ba	0.999869	1.000000	0.004370	sidecar	neutral-kept	[sidecar] exp115: GovernanceRouter — multi-constitution orchestration routing by agent_id/domain/custom predicates; resolve_with_info() for diagnostics; zero hot-path overhead
a5ec73bb4	0.999873	1.000000	0.004240	sidecar	neutral-kept	[sidecar] exp116: ConstitutionSnapshot + capture_snapshot() — immutable governance state capture (rules/integrity/metrics/routing) for compliance archival and audit trails; zero hot-path overhead
2903ce9b1	0.999854	1.000000	0.004870	sidecar	neutral-kept	[sidecar] exp117: Rule tags — arbitrary labels (gdpr, sox, pci-dss) for cross-cutting governance concerns; integrated with filter/summary/yaml/builder; zero hot-path overhead
58d9b4199	0.999871	1.000000	0.004290	sidecar	neutral-kept	[sidecar] exp118: Constitution.explain() — human-readable governance decision explanations with triggered rules, blocking/warning split, tag aggregation, and actionable recommendations; zero hot-path overhead
b5bf0b706	0.999872	1.000000	0.004260	sidecar	neutral-kept	[sidecar] exp119: Constitution.json_schema() + validate_yaml_schema() — JSON Schema for CI/CD validation of constitution YAML; lightweight built-in validator with duplicate ID/enum/type checks; zero hot-path overhead
9f5a1c418	0.999827	1.000000	0.005780	sidecar	neutral-kept	[sidecar] exp120: Constitution.inherit(parent, child) — hierarchical governance with child_wins/parent_wins/higher_severity override strategies; metadata tracks inheritance provenance; zero hot-path overhead
b090e35c7	0.999852	1.000000	0.004950	sidecar	neutral-kept	[sidecar] exp121: Rule.impact_score() — normalized 0-1 governance impact based on severity/detection breadth/config richness; classifies rules as high/moderate/low-impact; zero hot-path overhead
469b0b2f4	0.999825	1.000000	0.005820	sidecar	neutral-kept	[sidecar] exp122: Constitution.compare() — static version diff with added/removed/modified/unchanged; complements instance diff(); zero hot-path overhead
04db0f020	0.999832	1.000000	0.005610	sidecar	neutral-kept	[sidecar] exp123: AuditLedger — queryable in-memory governance decision log with wall-clock timestamps, time-range/agent/rule/decision filtering, summary, export; zero hot-path overhead
be35fdbad	0.999835	1.000000	0.005510	sidecar	neutral-kept	[sidecar] exp124: Rule.priority — explicit int field for deterministic ordering within same severity; integrated with YAML/builder/diff/compare; zero hot-path overhead
b31c2073e	0.999844	1.000000	0.005210	sidecar	neutral-kept	[sidecar] exp125: Constitution.to_bundle() — self-contained JSON governance export with schema_version/hash/rules/summary for cross-system portability; zero hot-path overhead
3989940f0	0.999847	1.000000	0.005100	sidecar	neutral-kept	[sidecar] exp126: GovernanceMetrics.merge() + from_snapshot() — fleet-level metrics aggregation across engine instances; zero hot-path overhead
79ba6d86f	0.999831	1.000000	0.005620	sidecar	neutral-kept	[sidecar] exp127: Constitution.from_bundle() — round-trip import from to_bundle() export with schema validation and imported_hash provenance; zero hot-path overhead
dc3d66e4d	0.999842	1.000000	0.005280	sidecar	neutral-kept	[sidecar] exp128: GovernanceChangelog + ChangelogEntry — append-only governance change log with record/query/summary/export; tracks rule_added/removed/updated/merged/inherited/imported with before/after constitutional hash provenance; zero hot-path overhead
fdb1523ca	0.999855	1.000000	0.004821	sidecar	neutral-kept	[sidecar] exp128: Constitution.changelog field + changelog_summary() — constitution-level mutation log wired into update_rule(); complements rule_history and GovernanceChangelog; zero hot-path overhead
64626af57	0.999840	1.000000	0.005320	sidecar	neutral-kept	[sidecar] exp129: GovernanceTestSuite + test case/result dataclasses for constitution validation harness export; zero hot-path overhead
494894162	0.999855	1.000000	0.004830	sidecar	neutral-kept	[sidecar] exp129: Rule.condition dict + condition_matches(context) + Constitution.active_rules_for_context() — structured predicate gating rule activation by context; supports equals/not_equals/contains/in/not_in; zero hot-path overhead
59e97a3aa	0.999833	1.000000	0.005550	sidecar	neutral-kept	[sidecar] exp130: constitution change simulation report with before/after decision deltas and transition summary; zero hot-path overhead
bbb47c0d8	0.999857	1.000000	0.004760	sidecar	neutral-kept	[sidecar] exp131: NearMissTracker + NearMissRecord for bounded near-boundary governance telemetry and summaries; zero hot-path overhead
062aacc20	0.999867	1.000000	0.004440	sidecar	neutral-kept	[sidecar] exp132: Obligation/ObligationSet for governance follow-up SLAs with resolution and export summaries; zero hot-path overhead
3ee4b8cb3	0.999867	1.000000	0.004420	sidecar	neutral-kept	[sidecar] exp133: DriftSignal + GovernanceDriftDetector for probing/gaming/boundary drift analytics; zero hot-path overhead
413ac29ba	0.999866	1.000000	0.004450	sidecar	neutral-kept	[sidecar] exp130: Constitution.health_score() — composite 0-1 quality metric (docs/specificity/conflict-freedom/dep-soundness/coverage); A-F grading for CI/CD gates; zero hot-path overhead
8cdd84299	0.999844	1.000000	0.005200	sidecar	neutral-kept	[sidecar] exp134: Constitution.coverage_gaps() — uncovered_domains/thin_categories/disabled_only_categories with coverage_score; identifies governance blind spots; zero hot-path overhead
cb309d008	0.999836	1.000000	0.005460	sidecar	neutral-kept	[sidecar] exp135: Rule.deprecated/replaced_by fields + Constitution.deprecated_rules()/active_non_deprecated()/deprecation_report() — rule lifecycle management with migration map; zero hot-path overhead
7d9d655d0	0.999865	1.000000	0.004500	sidecar	neutral-kept	[sidecar] exp136: Constitution.find_similar_rules(threshold=0.7) — Jaccard similarity on keyword sets; shared_keywords/severity_match/category_match/recommendation; zero hot-path overhead
92f176d45	0.999859	1.000000	0.004690	sidecar	neutral-kept	[sidecar] exp137: Rule.valid_from/valid_until ISO-8601 fields + Rule.is_valid_at() + Constitution.active_rules_at() — bi-temporal governance snapshots; GDPR windows/regulatory phases; zero hot-path overhead
021d6b183	0.999865	1.000000	0.004490	sidecar	neutral-kept	[sidecar] exp137: Constitution.regulatory_alignment(framework) — SOC2/HIPAA/GDPR/ISO27001 control family mapping; alignment_score/covered_controls/uncovered_controls/control_detail; zero hot-path overhead
021d6b183	0.999840	1.000000	0.005340	sidecar	neutral-kept	[sidecar] exp138: Rule.embedding (optional pre-computed vector) + Rule.cosine_similarity() + Constitution.cosine_similar_rules(cosine+Jaccard fallback) + semantic_search(query_embedding) — LLM-powered policy lookup for false-negative reduction; zero hot-path overhead
aec945122	0.999788	1.000000	0.005850	sidecar	neutral-kept	[sidecar] exp139: Constitution.maturity_level() — 0-5 capability scoring (Initial→Optimising); criteria breakdown, continuous score, next_level_gaps; zero hot-path overhead
a87416474	0.999846	1.000000	0.005120	sidecar	neutral-kept	[sidecar] exp139: Constitution.posture_score() — unified CI/CD gate metric; health(40%)+coverage(35%)+maturity(25%) weighted composite; grade A+-F; ci_pass bool; actionable recommendations; zero hot-path overhead
e3a782ad9	0.999855	1.000000	0.004840	sidecar	neutral-kept	[sidecar] exp140: Constitution.full_report() — bundles health/maturity/coverage/regulatory/deprecation/similar_rules/changelog into one JSON-ready governance report; zero hot-path overhead
6363b3ec0	0.999864	1.000000	0.004520	sidecar	neutral-kept	[sidecar] exp141: Policy-as-Code Rego/OPA export — Constitution.to_rego() + constitution_to_rego_bundle(); keyword/pattern Rego for OPA/Gatekeeper; zero hot-path overhead
0dca0bcc6	0.999840	1.000000	0.005330	sidecar	neutral-kept	[sidecar] exp142: Rule provenance graph — Constitution.rule_provenance_graph() nodes/edges (replaced_by, depends_on), roots/successors; lineage visualization; zero hot-path overhead
dd8c13203	0.999838	1.000000	0.005390	sidecar	neutral-kept	[sidecar] exp143: Constitution.counterfactual() — baseline vs rule-removed validation report; impact of specific rules on decisions; zero hot-path overhead
dd8c13203	0.999812	1.000000	0.006250	sidecar	neutral-kept	[sidecar] exp144: Constitution.subsumes() — cross-constitution superset check for CI/CD gates and tenant policy comparison; zero hot-path overhead
dd8c13203	0.999816	1.000000	0.006130	sidecar	neutral-kept	[sidecar] exp145: Constitution.compliance_report() — framework-focused compliance export combining regulatory_alignment/posture_score/health_score/coverage_gaps; zero hot-path overhead
dd8c13203	0.999849	1.000000	0.005050	sidecar	neutral-kept	[sidecar] exp146: Constitution.assess_decision_anomaly() — statistical divergence on allow/deny/escalate rates with baseline thresholds; zero hot-path overhead
dd8c13203	0.999841	1.000000	0.005290	sidecar	neutral-kept	[sidecar] exp147: permission_ceiling field + get_permission_ceiling() — advisory policy boundary (standard/strict/permissive) for downstream; zero hot-path overhead
dd8c13203	0.999850	1.000000	0.004990	sidecar	neutral-kept	[sidecar] exp148: Constitution.rule_regulatory_clause_map() — tag→regulatory clause mapping (GDPR/SOX/PCI-DSS/HIPAA/SOC2/ISO27001) for audit docs; by_rule/by_tag; zero hot-path overhead
dd8c13203	0.999849	1.000000	0.005050	sidecar	neutral-kept	[sidecar] exp149: Constitution.deprecation_migration_report() — per-deprecated-rule migration guidance (replaced_by, valid_until, recommendation); zero hot-path overhead
dd8c13203	0.999830	1.000000	0.005670	sidecar	neutral-kept	[sidecar] exp150: Constitution.check_governance_slo() — SLO breach detection (p99/compliance/throughput/fn_rate vs configurable thresholds); zero hot-path overhead
dd8c13203	0.999861	1.000000	0.004630	sidecar	neutral-kept	[sidecar] exp151: Constitution.list_categories() — sorted distinct rule categories for UI/config; zero hot-path overhead
dd8c13203	0.999861	1.000000	0.004630	sidecar	neutral-kept	[sidecar] exp152: Constitution.blast_radius(rule_id) — impact analysis (dependent_rule_ids, successor_rule_id); zero hot-path overhead
dd8c13203	0.999861	1.000000	0.004630	sidecar	neutral-kept	[sidecar] exp153: version_name field + get_version_info() — optional version label and dict (version_name, version, hash, rule_count); zero hot-path overhead
dd8c13203	0.999765	1.000000	0.007850	sidecar	neutral-kept	[sidecar] exp154: detect_semantic_conflicts() — semantic conflict detection using rule embeddings (cosine similarity for severity/workflow conflicts); zero hot-path overhead
819d5a4ba	0.999802	1.000000	0.006600	sidecar	improved	[sidecar] exp155: provenance_graph() — directed graph of rule lineage (nodes/edges/roots/chains/external_refs) for governance audit trails; zero hot-path overhead
bc1e2b6a1	0.999826	1.000000	0.005800	hot-path	neutral-kept	exp156: Fixed counterfactual method LSP errors (circular import, duplicate method) - neutral-kept | exp157: rule_dependencies() — semantic dependency analysis (keyword overlap, severity chains, workflow groups); zero hot-path overhead | exp158: resolve_conflicts() — automatic conflict resolution (severity precedence, specificity, hardcoded rules); zero hot-path overhead | exp159: enhanced audit trails — detailed rule evaluation paths in metadata (evaluated/matched/reason per rule); zero hot-path overhead | exp160: rule validation — syntax/semantics validation on constitution load (duplicates, empty text, invalid severity, dependency refs); zero hot-path overhead | exp161: merge_constitutions() — constitution diff/merge capabilities (union/replace/conservative/strict strategies); zero hot-path overhead | exp162: create_rule_from_template() — reusable rule templates/patterns (data_privacy, security_boundary, compliance_audit, resource_limit, access_control); zero hot-path overhead | exp163: get_governance_metrics() — real-time governance performance metrics dashboard (rule counts, complexity, health indicators, usage patterns); zero hot-path overhead | exp164: rule lifecycle management — draft/active/deprecated rule states with transition validation and state tracking; zero hot-path overhead | exp165: multi-tenant rule isolation — tenant-specific rule scoping with conflict detection and isolation reporting; zero hot-path overhead
e0be539cf	0.999822	1.000000	0.005930	sidecar	neutral-kept	[sidecar] exp166: GovernanceSLO — SLO tracking with breach detection (p99/compliance/deny-rate targets, alert generation, history); zero hot-path overhead
c6bb11d79	0.999805	1.000000	0.006510	sidecar	neutral-kept	[sidecar] exp167: PolicyBoundary + PolicyBoundarySet — hard permission ceilings overriding allow decisions (keyword/regex, batch, compliance rate); zero hot-path overhead
96b5424d7	0.999824	1.000000	0.005860	sidecar	neutral-kept	[sidecar] exp168: dead_rules() — detect rules that never fire against corpus (hit counts, coverage %, tuning recommendations); zero hot-path overhead
a5d5f4205	0.999772	1.000000	0.006870	sidecar	neutral-kept	[sidecar] exp169: DomainScopedRole + DomainRoleRegistry — domain-partitioned MACI with cross-domain isolation; zero hot-path overhead
d585ea300	0.999812	1.000000	0.006250	sidecar	neutral-kept	[sidecar] exp170: DerivedRole — virtual MACI role composition (shared-denial semantics, deny_override, allow_override, source attribution); zero hot-path overhead
f80f48399	0.999783	1.000000	0.007230	sidecar	neutral-kept	[sidecar] exp171: GovernanceCostModel — cost attribution per governance decision (cost_per_deny/escalate/human_review, by_rule/agent breakdown, FinOps reports); zero hot-path overhead
481f5e513	0.999866	1.000000	0.004410	sidecar	neutral-kept	[sidecar] exp172: GovernanceForecaster — predictive governance analytics (linear-trend forecasting, window time-series, deny/escalate/compliance projection with alerting); zero hot-path overhead
9365f7aab	0.999838	1.000000	0.005460	sidecar	neutral-kept	[sidecar] exp173: PolicyRolloutPipeline — staged constitution deployment shadow→canary→enforce with flip-rate tracking, auto-rollback threshold, impact_report; zero hot-path overhead
66334257f	0.999853	1.000000	0.004900	sidecar	neutral-kept	[sidecar] exp174: PolicyWaiver + WaiverRegistry — compliance exception ops with expiring waivers, approval chains, evidence collection, auto-expiry, evidence_pack(); zero hot-path overhead
uncommitted	0.999866	1.000000	0.004450	sidecar	neutral-kept	[sidecar] exp175: AmendmentProtocol — formal constitutional amendment lifecycle (draft→proposed→voting→ratified→enforced) with MACI separation-of-powers, quorum/threshold voting, veto power, audit trail; zero hot-path overhead
uncommitted	0.999856	1.000000	0.004810	sidecar	neutral-kept	[sidecar] exp176: DelegationGrant + DelegationRegistry — revocable authority delegation with scope patterns, depth-limited re-delegation, cascade revocation, delegation tree visualization, authority checking, full audit trail; zero hot-path overhead
uncommitted	0.999837	1.000000	0.005440	sidecar	neutral-kept	[sidecar] exp177: GovernanceAttestation + AttestationRegistry — HMAC-SHA256 signed attestation receipts with chain integrity verification, query/export, tamper detection; zero hot-path overhead
uncommitted	0.999857	1.000000	0.004750	sidecar	neutral-kept	[sidecar] exp178: AutonomySphere + GuardianGate — graduated autonomy routing (autonomous/consultative/mandatory_approval/forbidden) with risk-based classification, severity overrides, batch classify, history tracking; zero hot-path overhead
uncommitted	0.999863	1.000000	0.004550	sidecar	neutral-kept	[sidecar] exp179: CondorcetVoting + PolicyBallot — ranked-choice voting for multi-stakeholder policy decisions with pairwise comparison, Smith set fallback, weighted ballots, quorum enforcement; zero hot-path overhead
uncommitted	0.999858	1.000000	0.004740	sidecar	neutral-kept	[sidecar] exp180: GovernanceQuarantine — pending action queue with configurable timeouts, auto-resolution policies (deny/approve/escalate on timeout), QuarantinedAction lifecycle, batch operations, status tracking; zero hot-path overhead
uncommitted	0.999838	1.000000	0.005410	sidecar	neutral-kept	[sidecar] exp181: GovernanceContract + ContractRegistry — bilateral agent governance agreements with terms, obligations, MACI-enforced acceptance, breach reporting, dispute resolution (dismissed/warning/remediation/suspend/terminate), compliance scoring, integrity hashing, expiry management; zero hot-path overhead
uncommitted	0.999831	1.000000	0.005620	sidecar	neutral-kept	[sidecar] exp182: PolicyDecisionPoint + PolicyEnforcementPoint (PDP/PEP split) — decoupled policy decision from enforcement with EnforcementPolicy presets (strict/permissive/audit_only), PEPNetwork for multi-point coordination, DecisionProvider protocol, immutable PolicyDecision, enforcement logging; zero hot-path overhead
uncommitted	0.999850	1.000000	0.005000	sidecar	neutral-kept	[sidecar] exp183: CounterfactualGovernance — what-if scenario simulation for safe rule evolution; what_if_add/remove/modify/replace_all with DecisionDelta diff reports, impact scoring, history tracking; zero hot-path overhead
uncommitted	0.999838	1.000000	0.005400	sidecar	neutral-kept	[sidecar] exp184: CrossConstitutionCompliance + SubsumptionReport — hierarchical governance subsumption analysis with keyword coverage scoring, severity gap detection, category gap identification, partial coverage tracking; zero hot-path overhead
uncommitted	0.999848	1.000000	0.005080	sidecar	neutral-kept	[sidecar] exp185: RuleProvenanceGraph — directed graph of rule lineage with deprecation chains, replacement tracking (replaced_by/deprecated_by/split_into/merged_from/derived_from), ancestry/descendant traversal, impact analysis, root/leaf detection; zero hot-path overhead
uncommitted	0.999838	1.000000	0.005390	sidecar	neutral-kept	[sidecar] exp186: GovernanceAnomalyDetector — statistical divergence detection with sliding window z-score analysis, deny rate deviation, critical spike detection, agent denial concentration, rule fire ranking, per-agent denial ranking; zero hot-path overhead
uncommitted	0.999848	1.000000	0.005060	sidecar	neutral-kept	[sidecar] exp187: GovernanceReplay — replay historical audit decisions against modified rules with risk-weighted scoring (newly-allowed 3x, newly-blocked 2x), replay_with_comparison for A/B variant testing, safest_variant selection; zero hot-path overhead
uncommitted	0.999849	1.000000	0.005040	sidecar	neutral-kept	[sidecar] exp188: ComplianceCertificate + CertificateAuthority — HMAC-signed compliance certificates with chain integrity, revocation, expiry, supersession detection; zero hot-path overhead
uncommitted	0.999846	1.000000	0.005140	sidecar	neutral-kept	[sidecar] exp189: GovernanceEscrow + EscrowPolicy — multi-party approval escrow with N-of-M thresholds, timeout policies (deny/escalate/approve on expiry), MACI separation (requestor ≠ approver), rejection threshold, full audit trail; zero hot-path overhead
uncommitted	0.999818	1.000000	0.006080	sidecar	neutral-kept	[sidecar] exp190: GovernanceRateLimiter + RateLimitPolicy — sliding-window per-agent/action rate limiting with burst allowance, warn thresholds, violation tracking, backpressure signals; zero hot-path overhead
uncommitted	0.999847	1.000000	0.005110	sidecar	neutral-kept	[sidecar] exp191: GovernanceCircuitBreaker + CircuitBreakerPolicy — closed/open/half-open state machine with failure thresholds, recovery timeout, half-open probing, fallback policies (deny/allow/escalate), event history; zero hot-path overhead
uncommitted	0.999848	1.000000	0.005071	sidecar	neutral-kept	[sidecar] exp192: GovernanceEmergencyOverride — break-glass incident response with time-limited rule bypass, MACI separation (requestor ≠ authorizer), mandatory justification, scope filtering (all/severity/rules/category), auto-expiry, revocation, action recording; zero hot-path overhead
uncommitted	0.999860	1.000000	0.004660	sidecar	neutral-kept	[sidecar] exp193: PolicySandbox + SandboxReport — isolated rule testing environment with production-vs-candidate comparison, compatibility/risk scoring, rule addition/removal testing, outcome diff tracking; zero hot-path overhead
uncommitted	0.999863	1.000000	0.004550	sidecar	neutral-kept	[sidecar] exp194: PolicyVersionMigrator + MigrationPlan — automated constitution version migration with rule rename/merge/split/deprecate/remove/transform, dry-run validation, rollback snapshots, integrity hashing, fluent plan API, full audit trail; zero hot-path overhead
uncommitted	0.999845	1.000000	0.005170	sidecar	neutral-kept	[sidecar] exp195: GovernanceAccessControl + AccessPolicy + AccessRole — fine-grained RBAC/ABAC for governance operations with resource-level permissions, condition-based access, deny-override semantics, role inheritance, queryable audit log; zero hot-path overhead
uncommitted	0.999852	1.000000	0.004940	sidecar	neutral-kept	[sidecar] exp196: ConsentManager + ConsentRecord — GDPR-compliant consent lifecycle with purpose-based grant/withdraw/expire, lawful basis tracking (6 GDPR bases), data subject rights requests (7 rights), compliance reporting, subject data export, erasure, overdue detection, audit trail; zero hot-path overhead
uncommitted	0.999842	1.000000	0.005270	sidecar	neutral-kept	[sidecar] exp197: GovernanceNotificationBus + Subscriber — event-driven pub/sub for governance decisions with topic-based routing, priority channels (low/normal/high/critical), subscriber filters, delivery tracking (pending/delivered/failed/filtered), batch publish, event replay, subscriber stats, delivery reports; zero hot-path overhead
uncommitted	0.999768	1.000000	0.007720	sidecar	neutral-kept	[sidecar] exp198: VerifiableDelegationToken + DelegationTokenAuthority — HMAC-signed transport-agnostic delegation tokens with scope constraints, expiry, chain verification, revocation, re-delegation with scope narrowing, token status tracking; zero hot-path overhead
uncommitted	0.999806	1.000000	0.006460	sidecar	neutral-kept	[sidecar] exp199: DataClassifier + SensitivityLevel + HandlingRequirement — data sensitivity labeling with highest-level-wins multi-label semantics, merged handling requirements (most restrictive wins), retention ceilings, encryption mandates, cross-border restrictions, bulk classification, reclassification, declassification, compliance reporting; zero hot-path overhead
uncommitted	0.999861	1.000000	0.004640	sidecar	neutral-kept	[sidecar] exp200: RetentionManager + RetentionPolicy + RetentionCategory — data/audit retention lifecycle with per-category retention windows, auto-purge with optional archival, legal-hold freeze, bulk expiry scanning, manual purge, retention compliance reporting, overdue detection; zero hot-path overhead
uncommitted	0.999843	1.000000	0.005250	sidecar	neutral-kept	[sidecar] exp201: IncidentManager + Incident + IncidentSeverity + IncidentPhase — structured governance incident lifecycle with valid phase transitions (detected→triaged→contained→investigating→resolved→post_mortem→closed), severity escalation (upward only), assignee management, timeline reconstruction, tagging, artifact linking, incident reports with duration and time-to-contain metrics, dashboard summary; zero hot-path overhead
uncommitted	0.999757	1.000000	0.008090	sidecar	neutral-kept	[sidecar] exp202: ComplianceMapper + RegulatoryFramework + ControlMapping + CoverageGap — maps governance rules to regulatory framework controls (EU AI Act, NIST AI RMF, ISO 42001, etc.) with many-to-many mappings, coverage gap detection, coverage scoring, compliance matrix generation, cross-framework overlap analysis, dashboard summary; zero hot-path overhead
uncommitted	0.999833	1.000000	0.005550	sidecar	neutral-kept	[sidecar] exp203: GraduatedEnforcer + EnforcementLevel + EscalationPolicy — progressive enforcement with warn→throttle→block escalation, per-(rule,actor) violation tracking, cooldown windows with auto-reset, manual level overrides, escalation audit trail, dashboard summary; zero hot-path overhead
uncommitted	0.999837	1.000000	0.005440	sidecar	neutral-kept	[sidecar] exp204: FlagManager + GovernanceFeatureFlag + FlagStatus — feature-flag gated rule activation with percentage-based rollouts (deterministic hashing), actor-level allow/deny targeting, kill switches for emergency deactivation, flag revive/archive lifecycle, change audit trail, dashboard summary; zero hot-path overhead
uncommitted	0.999821	1.000000	0.005970	sidecar	neutral-kept	[sidecar] exp205: SLAManager + SLATarget + SLAMetricType + SLABreach — SLA tracking per governance operation type with latency/throughput/error-rate targets, real-time breach detection, percentile latency computation, batch recording, compliance reporting with per-operation breach counts and percentiles; zero hot-path overhead
uncommitted	0.999771	1.000000	0.007620	sidecar	neutral-kept	[sidecar] exp206: ChangeRequestManager + ChangeRequest + ChangeRequestStatus + ChangeType — structured change request workflow for governance rule modifications with valid status transitions (draft→submitted→under_review→approved→applied), multi-approver gates with threshold, self-approval prevention, rejection with rationale, rollback after application, reopen from rejected/rolled-back, impact assessment fields, change request audit trail; zero hot-path overhead
uncommitted	0.999863	1.000000	0.004550	sidecar	neutral-kept	[sidecar] exp207: TagRegistry + TagStats — flexible tag registry with optional namespaces, bulk tagging, tag-based artifact querying, tag renaming/merging, usage statistics; zero hot-path overhead
uncommitted	0.999820	1.000000	0.005990	sidecar	neutral-kept	[sidecar] exp208: RuleTemplate + RuleTemplateRegistry + InstantiationRecord — parameterized rule template system with {param} placeholders in text/keywords/patterns/category, placeholder validation, parameter binding with missing/extra detection, bulk instantiation, audit trail per template, round-trip serialisation, registry summary; zero hot-path overhead
uncommitted	0.999828	1.000000	0.005740	sidecar	neutral-kept	[sidecar] exp209: PolicyExporter — multi-format policy export (JSON, YAML, CSV, Markdown, plain-text) from Constitution; one row per rule with pipe-delimited multi-values, export_file/export_all helpers; zero hot-path overhead
uncommitted	0.999837	1.000000	0.005430	sidecar	neutral-kept	[sidecar] exp210: CostBudgetManager + CostBudget + UsageRecord + RecordStatus — per-agent/role compute cost budgeting with soft-warn and hard-block thresholds, hourly/daily/weekly reset windows, per-budget event history, breached/soft_warned query helpers, force-reset, aggregate summary; zero hot-path overhead
uncommitted	0.999837	1.000000	0.005430	sidecar	neutral-kept	[sidecar] exp211: TrustScoreManager + TrustConfig + TrustEvent + TrustTier — dynamic per-agent trust scoring with severity-weighted violation penalties (critical=0.20, high=0.10, medium=0.05, low=0.02), compliant-decision recovery, configurable trusted/monitored/restricted tier thresholds, auto-register on first decision, event history, restricted_agents query, aggregate summary; zero hot-path overhead
uncommitted	0.999829	1.000000	0.005690	sidecar	neutral-kept	[sidecar] exp212: QuorumManager + GateState + GateStatus + VoteRecord — quorum-based multi-agent decision gates with N-approval threshold, immediate veto-rejection, eligible-voter enforcement, timeout auto-close, vote deduplication per voter, open_gates query, aggregate summary; zero hot-path overhead
uncommitted	0.999839	1.000000	0.005370	sidecar	neutral-kept	[sidecar] exp213: GovernanceMetadataStore + MetadataEntry + MetadataDiff + MetadataScope — key-value metadata store for governance artifacts with TTL expiry, namespaced scopes (rule/decision/agent/session), bulk set/get, value search, artifact diff/snapshot, copy, purge, structured export, change log; zero hot-path overhead
uncommitted	0.999846	1.000000	0.005120	sidecar	neutral-kept	[sidecar] exp214: GovernanceDecisionExplainer + DecisionExplanation + RuleSummary + ExplanationDetail + ExplanationFormat — structured post-decision explanation generation with brief/standard/verbose detail levels, text/markdown/JSON rendering, blocking/warning rule separation, category/tag aggregation, remediation hints, confidence scoring, batch explain, history tracking, summary report; zero hot-path overhead
uncommitted	0.999773	1.000000	0.007570	sidecar	neutral-kept	[sidecar] exp215: PolicyLinter + LintReport + LintIssue + LintSeverity + LintCode — static quality analyser for constitution rules with 15 lint codes (G001-G015): missing description, empty keywords, duplicate keywords, short keywords, duplicate rule IDs, conflicting severities, weak regex patterns, duplicate patterns, missing category, keyword substring overlap, excessive keyword count, invalid severity, missing workflow action; single-rule and cross-rule checks, text rendering, filter/group API; zero hot-path overhead
uncommitted	0.999852	1.000000	0.005300	sidecar	neutral-kept	[sidecar] exp216: GovernanceTestSuite + GovernanceTestCase + AssertionResult + TestReport + TestOutcome — declarative fixture-driven governance rule regression testing with pytest-style pass/fail/error/skip outcomes, tag/name filtering, fail-fast mode, fixture generation from decision history, regression detection vs baseline, CI-ready ci_passed gate, text rendering, YAML-compatible dict export/import; zero hot-path overhead
uncommitted	0.999863	1.000000	0.005610	sidecar	neutral-kept	[sidecar] exp217: PolicyLifecycleOrchestrator + ManagedPolicy + PolicyState + LifecycleGate + GateType + RolloutPlan + RolloutStage + TransitionRecord + OrchestratorTransitionResult + GateEvaluation — full policy state machine (DRAFT→REVIEW→STAGED→ACTIVE→DEPRECATED→ARCHIVED) with configurable gate checks (min approvals, lint, test suite, blast radius, attestation), staged canary rollouts, auto-supersession on ACTIVE, force override, transition audit trail, summary dashboard; zero hot-path overhead
uncommitted	0.999824	1.000000	0.005870	sidecar	neutral-kept	[sidecar] exp218: GovernancePolicyFuzzer + FuzzCase + FuzzReport + RuleCoverage — adversarial stress-tester for governance rule sets with 10 mutation strategies (homoglyph, leetspeak, mixed_case, whitespace_inject, synonym, prefix, suffix, negation_wrap, context_strip, double), keyword-targeted adversarial generation, benign control cases for false-positive detection, boundary probing, exhaustive combinatorial probing, bypass detection (seed dangerous → mutated allow), per-rule coverage tracking; zero hot-path overhead
uncommitted	0.999857	1.000000	0.004760	sidecar	neutral-kept	[sidecar] exp219: InterAgentGovernanceProtocol + DelegationLink + DelegationChain + DelegationResult + AuthorizationResult — zero-trust agent-to-agent delegation chains with scope narrowing semantics, per-link constitutional validation, HMAC-signed delegation receipts, chain-wide validity (revoked/expired breaks chain), depth limits, cascade revocation, root principal traversal, effective scope intersection, authorization checks combining delegation chain + constitution + required_scope; zero hot-path overhead
uncommitted	0.999835	1.000000	0.005490	sidecar	neutral-kept	[sidecar] exp220: GovernancePolicySimulator + ActionDelta + CandidateReport + SimulationComparisonReport — advanced what-if analysis with multi-constitution comparison, impact risk scoring (none/low/medium/high/critical transition matrix), blast radius estimation, regression detection (deny→allow), go/no-go/review recommendation engine with confidence scoring, side-by-side diff matrix across candidates, single-candidate convenience method; zero hot-path overhead
uncommitted	0.999840	1.000000	0.005340	sidecar	neutral-kept	[sidecar] exp221: RegulatoryHorizonScanner + RegulatoryRequirement + RegulatoryFrameworkVersion + RuleMappingEntry + CoverageGapItem + RemediationTicket + ScanReport — regulatory change monitoring with versioned framework registry, rule-to-requirement mapping, coverage gap detection, supersession/staleness detection, remediation ticket generation, multi-framework cross-reference by tag, per-framework coverage scoring, dashboard summary; zero hot-path overhead
